Query_ID,Tipo,K,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
0,kNN,5,142.124,10120,1,5
1,kNN,5,190.959,13311,1,5
2,kNN,5,167.086,11664,1,5
3,kNN,5,73.3895,5241,1,5
4,kNN,5,65.4796,4670,1,5
5,kNN,5,72.5415,5150,1,5
6,kNN,5,109.292,7795,1,5
7,kNN,5,143.575,10152,1,5
8,kNN,5,193.691,13572,1,5
9,kNN,5,14.7588,1045,1,5
10,kNN,5,196.176,13568,1,5
11,kNN,5,74.3106,5279,1,5
12,kNN,5,37.5872,2675,1,5
13,kNN,5,172.887,12217,1,5
14,kNN,5,140.187,9763,1,5
15,kNN,5,178.754,12201,1,5
16,kNN,5,136.385,9384,1,5
17,kNN,5,149.746,10388,1,5
18,kNN,5,12.7975,867,1,5
19,kNN,5,179.062,11631,1,5
20,kNN,5,165.796,11381,1,5
21,kNN,5,51.0255,3598,1,5
22,kNN,5,45.6648,3242,1,5
23,kNN,5,74.6295,5269,1,5
24,kNN,5,167.015,11543,1,5
25,kNN,5,150.472,10272,1,5
26,kNN,5,203.562,13955,1,5
27,kNN,5,177.37,12212,1,5
28,kNN,5,48.6115,3327,1,5
29,kNN,5,184.69,12946,1,5
30,kNN,5,186.172,13025,1,5
31,kNN,5,183.555,12939,0.8,5
32,kNN,5,164.266,11654,1,5
33,kNN,5,199.178,13565,1,5
34,kNN,5,182.682,13015,1,5
35,kNN,5,161.002,11234,1,5
36,kNN,5,207.249,14589,1,5
37,kNN,5,34.3691,2500,1,5
38,kNN,5,152.42,10121,1,5
39,kNN,5,16.7795,1174,1,5
40,kNN,5,23.2987,1683,1,5
41,kNN,5,14.0511,954,1,5
42,kNN,5,80.5352,5697,1,5
43,kNN,5,166.201,11664,1,5
44,kNN,5,176.005,12561,1,5
45,kNN,5,33.4419,2395,1,5
46,kNN,5,158.252,11384,1,5
47,kNN,5,157.234,11004,1,5
48,kNN,5,14.8826,1070,1,5
49,kNN,5,61.1749,4468,1,5
50,kNN,5,87.188,6285,1,5
51,kNN,5,165.633,10770,1,5
52,kNN,5,76.6317,5423,1,5
53,kNN,5,220.995,15489,1,5
54,kNN,5,168.932,11806,1,5
55,kNN,5,187.25,12953,1,5
56,kNN,5,165.054,11622,1,5
57,kNN,5,129.564,9224,1,5
58,kNN,5,133.578,9590,1,5
59,kNN,5,57.8491,4242,1,5
60,kNN,5,12.8166,911,1,5
61,kNN,5,139.416,10163,1,5
62,kNN,5,157.476,11317,1,5
63,kNN,5,176.923,12735,1,5
64,kNN,5,215.308,15499,1,5
65,kNN,5,169.834,12125,1,5
66,kNN,5,132.017,9410,1,5
67,kNN,5,76.8625,5584,1,5
68,kNN,5,15.5715,1112,1,5
69,kNN,5,146.303,10464,1,5
70,kNN,5,183.124,12735,1,5
71,kNN,5,182.813,12744,1,5
72,kNN,5,13.6553,963,1,5
73,kNN,5,174.268,12128,1,5
74,kNN,5,172.274,12213,1,5
75,kNN,5,72.3868,5215,1,5
76,kNN,5,17.9683,1282,1,5
77,kNN,5,99.537,6977,1,5
78,kNN,5,11.3928,816,1,5
79,kNN,5,167.323,11663,1,5
80,kNN,5,27.064,1920,1,5
81,kNN,5,32.1467,2308,1,5
82,kNN,5,195.646,13954,1,5
83,kNN,5,53.0133,3852,1,5
84,kNN,5,43.6831,3156,1,5
85,kNN,5,142.522,10316,1,5
