Query_ID,Tipo,K,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
0,kNN,5,122.953,1358,1,5
1,kNN,5,144.055,1419,1,5
2,kNN,5,132.666,1429,1,5
3,kNN,5,148.461,1441,1,5
4,kNN,5,148.447,1449,1,5
5,kNN,5,98.5787,1340,1,5
6,kNN,5,132.397,1454,1,5
7,kNN,5,117.061,1394,1,5
8,kNN,5,145.805,1450,1,5
9,kNN,5,126.062,1407,1,5
10,kNN,5,135.613,1415,1,5
11,kNN,5,132.656,1424,1,5
12,kNN,5,120.555,1448,1,5
13,kNN,5,116.257,1405,1,5
14,kNN,5,142.756,1432,1,5
15,kNN,5,146.051,1436,1,5
16,kNN,5,127.635,1447,1,5
17,kNN,5,138.297,1454,1,5
18,kNN,5,132.597,1450,1,5
19,kNN,5,129.188,1430,1,5
20,kNN,5,131.395,1445,1,5
21,kNN,5,93.7871,1257,1,5
22,kNN,5,129.339,1414,1,5
23,kNN,5,144.975,1454,1,5
24,kNN,5,132.304,1423,1,5
25,kNN,5,144.424,1440,1,5
26,kNN,5,150.146,1449,1,5
27,kNN,5,76.8341,1098,1,5
28,kNN,5,105.398,1315,1,5
29,kNN,5,141.498,1454,1,5
30,kNN,5,142.815,1432,1,5
31,kNN,5,123.351,1402,1,5
32,kNN,5,133.653,1454,1,5
33,kNN,5,134.931,1430,1,5
34,kNN,5,53.24,822,1,5
35,kNN,5,120.795,1384,1,5
36,kNN,5,138.83,1424,1,5
37,kNN,5,140.13,1454,1,5
38,kNN,5,141.857,1454,1,5
39,kNN,5,128.103,1406,1,5
40,kNN,5,136.06,1450,1,5
41,kNN,5,108.318,1309,1,5
42,kNN,5,145.269,1445,1,5
43,kNN,5,131.581,1445,1,5
44,kNN,5,38.0674,559,1,5
45,kNN,5,127.593,1389,1,5
46,kNN,5,136.096,1450,1,5
47,kNN,5,149.31,1441,1,5
48,kNN,5,124.559,1454,1,5
49,kNN,5,140.336,1432,1,5
50,kNN,5,142.751,1422,1,5
51,kNN,5,147.131,1445,1,5
52,kNN,5,124.367,1409,1,5
53,kNN,5,121.976,1384,1,5
54,kNN,5,119.822,1424,1,5
55,kNN,5,82.1424,1143,1,5
56,kNN,5,79.4307,1119,1,5
57,kNN,5,133.466,1433,1,5
58,kNN,5,129.864,1454,1,5
59,kNN,5,147.465,1449,1,5
60,kNN,5,142.495,1445,1,5
61,kNN,5,138.091,1420,1,5
62,kNN,5,131.557,1419,1,5
63,kNN,5,148.53,1454,1,5
64,kNN,5,140.356,1454,1,5
65,kNN,5,161.732,1446,1,5
66,kNN,5,141.084,1432,1,5
67,kNN,5,70.6392,1016,1,5
68,kNN,5,135.631,1415,1,5
69,kNN,5,122.795,1449,1,5
70,kNN,5,134.135,1419,1,5
71,kNN,5,139.438,1454,1,5
72,kNN,5,143.812,1435,1,5
73,kNN,5,120.916,1453,1,5
74,kNN,5,138.044,1439,1,5
75,kNN,5,135.698,1415,1,5
76,kNN,5,134.729,1430,1,5
77,kNN,5,120.139,1430,1,5
78,kNN,5,138.903,1436,1,5
79,kNN,5,117.314,1370,1,5
80,kNN,5,145.036,1440,1,5
81,kNN,5,81.9446,1148,1,5
82,kNN,5,136.231,1454,1,5
83,kNN,5,131.496,1419,1,5
84,kNN,5,138.144,1454,1,5
85,kNN,5,138.402,1429,1,5
86,kNN,5,113.492,1440,1,5
87,kNN,5,125.613,1412,1,5
88,kNN,5,144.893,1454,1,5
89,kNN,5,132.693,1449,1,5
90,kNN,5,123.696,1374,1,5
91,kNN,5,132.123,1428,1,5
92,kNN,5,99.6781,1273,1,5
93,kNN,5,135.946,1454,1,5
94,kNN,5,108.298,1334,1,5
95,kNN,5,137.389,1454,1,5
96,kNN,5,142.687,1454,1,5
97,kNN,5,122.228,1402,1,5
98,kNN,5,141.364,1449,1,5
99,kNN,5,121.037,1423,1,5
0,Range,0.1,0.888,16,1,1
1,Range,0.1,2.513,48,1,1
2,Range,0.1,1.847,34,1,1
3,Range,0.1,2.31,44,1,1
4,Range,0.1,1.652,30,1,1
5,Range,0.1,2.178,39,1,1
6,Range,0.1,2.596,48,1,1
7,Range,0.1,1.843,36,1,1
8,Range,0.1,3.184,59,1,1
9,Range,0.1,1.572,30,1,1
10,Range,0.1,2.168,41,1,1
11,Range,0.1,1.873,36,1,1
12,Range,0.1,0.689,12,1,1
13,Range,0.1,1.506,26,1,1
14,Range,0.1,1.53,28,1,1
15,Range,0.1,0.567,10,1,1
16,Range,0.1,3.002,58,1,1
17,Range,0.1,1.489,26,1,1
18,Range,0.1,1.097,19,1,1
19,Range,0.1,2.016,37,1,1
20,Range,0.1,1.801,33,1,1
21,Range,0.1,0.888,16,1,1
22,Range,0.1,1.408,27,1,1
23,Range,0.1,0.918,16,1,1
24,Range,0.1,1.258,22,1,1
25,Range,0.1,1.501,26,1,1
26,Range,0.1,0.518,9,1,1
27,Range,0.1,3.227,59,1,1
28,Range,0.1,1.555,27,1,1
29,Range,0.1,1.652,31,1,1
30,Range,0.1,1.157,21,1,1
31,Range,0.1,3.7,66,1,1
32,Range,0.1,1.984,35,1,1
33,Range,0.1,1.767,30,1,1
34,Range,0.1,1.464,24,1,1
35,Range,0.1,1.12,20,1,1
36,Range,0.1,0.737,12,1,1
37,Range,0.1,1.86,34,1,1
38,Range,0.1,1.041,18,1,1
39,Range,0.1,2.188,40,1,1
40,Range,0.1,3.158,58,1,1
41,Range,0.1,2.858,54,1,1
42,Range,0.1,1.974,33,1,1
43,Range,0.1,1.122,20,1,1
44,Range,0.1,0.861,14,1,1
45,Range,0.1,1.883,31,1,1
46,Range,0.1,1.354,24,1,1
47,Range,0.1,2.458,45,1,1
48,Range,0.1,1.709,29,1,1
49,Range,0.1,1.739,32,1,1
50,Range,0.1,1.76,29,1,1
51,Range,0.1,0.616,10,1,1
52,Range,0.1,1.845,33,1,1
53,Range,0.1,1.921,34,1,1
54,Range,0.1,2.093,39,1,1
55,Range,0.1,1.022,20,1,1
56,Range,0.1,1.812,32,1,1
57,Range,0.1,2.041,32,1,1
